"ID","MonthlyIncome"
871,5956.67725367255
872,2218.31771718746
873,14225.1792619049
874,2154.24260885873
875,2231.6956777484
876,6998.07164196913
877,6027.44134228175
878,2038.06300552423
879,2347.8752810829
880,15027.525463252
881,11167.7046903899
882,2327.8083402415
883,5917.95071922772
884,5911.26173894725
885,6393.2323986507
886,5872.53520450241
887,6239.73360810935
888,6180.94013282311
889,6168.96951950015
890,2225.00669746793
891,6034.13032256222
892,9919.2996693082
893,9759.11189848637
894,5917.95071922772
895,11206.4312248347
896,9971.40416431397
897,10188.9780631841
898,13980.8494419129
899,6072.85685700705
900,2321.11935996103
901,2321.11935996103
902,6431.95893309554
903,6703.04467420937
904,2494.68509134379
905,14687.0829807669
906,5872.53520450241
907,10576.2434076324
908,6059.47889644611
909,2038.06300552423
910,1999.3364710794
911,18373.3380222462
912,2263.73323191277
913,2327.8083402415
914,10048.8572332036
915,6187.62911310358
916,5911.26173894725
917,2076.78953996907
918,5879.22418478288
919,1999.3364710794
920,2777.74144578058
921,2147.55362857826
922,1999.3364710794
923,6290.43075587714
924,6265.08218199324
925,15362.6863126945
926,2443.987943576
927,6072.85685700705
928,10249.1788857083
929,1999.3364710794
930,2302.4597663576
931,6266.48952923122
932,9893.9510954243
933,9797.8384329312
934,2140.8646482978
935,1999.3364710794
936,2243.66629107136
937,10485.4123781818
938,10556.176466791
939,6735.08222837374
940,1999.3364710794
941,2861.88349495072
942,9964.7151840335
943,10719.1789320888
944,5872.53520450241
945,1960.60993663456
946,5917.95071922772
947,1999.3364710794
948,2076.78953996907
949,2302.4597663576
950,6091.51645061048
951,2476.02549774036
952,6027.44134228175
953,6123.55400477484
954,2225.00669746793
955,6162.28053921968
956,9887.26211514383
957,11836.619042037
958,2411.95038941163
959,10832.5438409473
960,18697.9356056038
961,2192.96914330357
962,6034.13032256222
963,6477.37444782084
964,6278.46014255418
965,2038.06300552423
966,18047.6808475601
967,2154.24260885873
968,9797.8384329312
969,15335.9303915726
970,2218.31771718746
971,5956.67725367255
972,6104.89441117142
973,2186.2801630231
974,1999.3364710794
975,5911.26173894725
976,2115.5160744139
977,6966.03408780476
978,2225.00669746793
979,10068.924174045
980,18456.0727241784
981,2225.00669746793
982,10375.9217551278
983,2321.11935996103
984,2186.2801630231
985,6059.47889644611
986,2398.57242885069
987,2031.37402524376
988,6052.78991616565
989,10223.8303118244
990,2108.82709413343
991,6445.33689365647
992,2154.24260885873
993,6182.34748006109
994,6039.41195560471
995,5949.98827339208
996,6305.21606367606
997,2108.82709413343
998,14546.9621507865
999,9939.3666101496
1000,1999.3364710794
1001,6689.66671364843
1002,6039.41195560471
1003,6104.89441117142
1004,6940.68551392087
1005,2411.95038941163
1006,6194.31809338404
1007,2038.06300552423
1008,6329.15729032197
1009,18476.1396650198
1010,6381.26178532774
1011,10581.5250406749
1012,6502.72302170473
1013,6189.03646034155
1014,6239.73360810935
1015,6130.24298505531
1016,2334.49732052196
1017,2379.91283524727
1018,9797.8384329312
1019,9939.3666101496
1020,1960.60993663456
1021,6066.16787672658
1022,6148.90257865874
1023,6116.86502449438
1024,10442.8115579324
1025,14397.3376460496
1026,18154.3567761381
1027,6258.39320171277
1028,5879.22418478288
1029,5904.57275866678
1030,10468.1601318163
1031,5872.53520450241
1032,2379.91283524727
1033,9759.11189848637
1034,1999.3364710794
1035,6207.69605394498
1036,1999.3364710794
1037,5917.95071922772
1038,10254.4605187508
1039,9919.2996693082
1040,6207.69605394498
1041,2225.00669746793
1042,2289.08180579666
1043,9829.87598709557
1044,6382.66913256572
1045,2154.24260885873
1046,1999.3364710794
1047,6020.75236200128
1048,9939.3666101496
1049,2270.42221219323
1050,6116.86502449438
1051,10759.3128137716
1052,2270.42221219323
1053,6091.51645061048
1054,2321.11935996103
1055,2257.0442516323
1056,2321.11935996103
1057,6046.10093588518
1058,14147.7261930152
1059,6709.73365448984
1060,2225.00669746793
1061,6221.07401450592
1062,6034.13032256222
1063,6330.56463755995
1064,2076.78953996907
1065,6374.57280504728
1066,2186.2801630231
1067,3215.70393799672
1068,18266.6620936681
1069,5911.26173894725
1070,2179.59118274263
1071,2282.39282551619
1072,6189.03646034155
1073,2038.06300552423
1074,6168.96951950015
1075,6110.17604421391
1076,14283.9727371911
1077,18251.8767858692
1078,6072.85685700705
1079,6136.93196533578
1080,6869.92142531167
1081,2462.64753717942
1082,2115.5160744139
1083,1999.3364710794
1084,6394.63974588868
1085,9829.87598709557
1086,10249.1788857083
1087,5949.98827339208
1088,2353.15691412539
1089,2225.00669746793
1090,5917.95071922772
1091,5956.67725367255
1092,6266.48952923122
1093,9797.8384329312
1094,6020.75236200128
1095,5917.95071922772
1096,6059.47889644611
1097,3067.48678049785
1098,2257.0442516323
1099,2270.42221219323
1100,6072.85685700705
1101,17705.831017837
1102,6091.51645061048
1103,6349.22423116338
1104,11727.128418983
1105,2334.49732052196
1106,2302.4597663576
1107,2309.14874663807
1108,6329.15729032197
1109,5956.67725367255
1110,5949.98827339208
1111,6298.52708339559
1112,10209.0450040255
1113,10247.7715384703
1114,6831.19489086683
1115,10635.0368829186
1116,2302.4597663576
1117,6927.30755335993
1118,6104.89441117142
1119,10916.6858901174
1120,2270.42221219323
1121,10729.7421981737
1122,14885.9972860336
1123,6072.85685700705
1124,14051.6135305221
1125,2070.1005596886
1126,2031.37402524376
1127,2192.96914330357
1128,6162.28053921968
1129,13987.5384221934
1130,2115.5160744139
1131,9983.37477763692
1132,14012.8869960773
1133,6072.85685700705
1134,2115.5160744139
1135,2508.06305190473
1136,2225.00669746793
1137,3003.41167216912
1138,6104.89441117142
1139,10100.9617282094
1140,13677.7261466347
1141,6104.89441117142
1142,6104.89441117142
1143,10840.6401684658
1144,5840.49765033805
1145,6355.91321144385
1146,6091.51645061048
1147,5982.02582755645
1148,2179.59118274263
1149,2076.78953996907
1150,6111.58339145189
1151,2115.5160744139
1152,6059.47889644611
1153,6972.72306808523
1154,1999.3364710794
1155,6337.25361784042
1156,14397.3376460496
1157,2218.31771718746
1158,6715.01528753233
1159,2115.5160744139
1160,6084.82747033001
1161,2192.96914330357
1162,10086.1764204105
1163,2386.60181552774
1164,10067.5168268071
1165,2270.42221219323
1166,2038.06300552423
1167,10048.8572332036
1168,5949.98827339208
1169,2225.00669746793
1170,2270.42221219323
